,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed
0,Barrow,-38.31,-60.23,39.06,42,0,4.0
1,Broken Hill,-31.97,141.45,70.74,34,76,11.83
2,Santa Rosa,-36.62,-64.29,45.27,33,0,7.02
3,Punta Arenas,-53.16,-70.91,39.2,100,75,23.04
4,Keti Bandar,24.14,67.45,80.46,98,0,9.82
5,Tarpon Springs,28.15,-82.76,83.66,69,90,6.93
6,Avarua,-21.21,-159.78,71.6,60,75,13.87
7,Khatanga,71.98,102.47,32.85,95,44,3.67
8,Goya,-29.14,-59.27,55.62,89,0,18.43
9,Jamestown,-33.21,138.6,77.49,21,68,10.49
10,Rikitea,-23.12,-134.97,70.47,100,88,11.5
11,Port Elizabeth,39.31,-74.98,73.72,84,1,8.05
12,Bredasdorp,-34.53,20.04,57.2,87,64,13.87
13,Turan,52.15,93.92,38.34,77,76,1.77
14,Hasaki,35.73,140.83,69.8,64,20,2.24
15,San Patricio,-26.98,-56.83,68.67,99,92,8.25
16,Beruwala,6.48,79.98,78.21,100,92,9.04
17,Aykhal,65.95,111.51,26.55,81,36,3.89
18,Bilibino,68.06,166.44,43.38,72,76,3.22
19,Georgetown,6.8,-58.16,79.47,79,0,6.8
20,Vaini,15.34,74.49,68.76,93,36,2.44
21,Carnduff,49.17,-101.8,51.3,77,80,7.36
22,Tucuman,-17.17,-70.89,58.41,59,0,0.65
23,Pritzwalk,53.15,12.18,44.82,85,0,12.73
24,Morondava,-20.3,44.28,74.07,85,0,7.81
25,Bar Harbor,44.39,-68.2,49.57,96,1,2.77
26,Dikson,73.51,80.55,38.25,100,76,18.32
27,Atuona,-9.8,-139.03,79.47,100,0,11.5
28,Ahipara,-35.17,173.16,56.79,100,88,4.23
29,Thompson,55.74,-97.86,37.4,44,90,6.93
30,Qaanaaq,77.48,-69.36,14.49,100,0,13.29
31,Burlington,43.32,-79.8,50.38,100,90,11.41
32,Puerto Ayora,-0.74,-90.35,72.45,100,0,11.83
33,Hilo,19.71,-155.08,79.14,59,1,10.29
34,Lampazos de Naranjo,27.02,-100.51,80.19,64,0,7.7
35,Carutapera,-1.2,-46.02,80.91,80,64,11.72
36,Orange,-33.28,149.1,63.0,82,0,4.23
37,Port-Gentil,-0.72,8.78,78.8,88,75,9.17
38,Clyde River,70.47,-68.59,23.0,92,90,12.75
39,Carnarvon,-30.97,22.13,57.69,23,12,10.49
40,Albany,42.65,-73.75,53.19,93,90,3.11
41,Sorland,67.67,12.69,48.24,100,64,7.36
42,Tiksi,71.64,128.87,25.38,100,64,4.45
43,Tigil,57.8,158.67,44.19,78,76,12.39
44,Touros,-5.2,-35.46,75.87,87,64,15.52
45,Kapaa,22.08,-159.32,81.45,79,90,5.82
46,Bluff,-23.58,149.07,74.34,40,0,11.5
47,New Norfolk,-42.78,147.06,57.2,67,40,3.36
48,Kuusamo,65.96,29.19,35.6,93,90,3.36
49,Saint-Augustin,44.83,-0.61,49.19,87,0,2.24
50,Novikovo,45.05,34.56,58.05,100,64,4.23
51,Faya,18.39,42.45,65.32,47,0,6.93
52,Hambantota,6.12,81.12,78.39,100,44,12.5
53,Wewak,-3.55,143.63,87.57,67,0,4.23
54,Bambous Virieux,-20.34,57.76,71.6,83,40,10.29
55,Ushuaia,-54.81,-68.31,35.6,69,40,17.22
56,Ovsyanka,53.58,126.91,47.79,60,12,8.7
57,Quilmana,-12.95,-76.38,63.0,80,68,1.99
58,Hermanus,-34.42,19.24,54.27,97,92,7.47
59,Hamilton,43.26,-79.87,50.38,100,90,11.41
60,Christchurch,-43.53,172.64,57.2,71,48,6.93
61,Guerrero Negro,27.97,-114.04,74.34,94,92,20.22
62,San Juan,-31.54,-68.53,47.88,50,0,2.77
63,Rila,42.13,23.13,50.0,87,20,4.7
64,Voh,-20.95,164.69,69.66,100,56,21.34
65,Zhob,31.34,69.45,41.49,81,0,1.54
66,Half Moon Bay,37.46,-122.43,76.51,49,75,13.87
67,Ornskoldsvik,63.29,18.72,33.8,74,0,6.93
68,Busselton,-33.64,115.35,56.88,100,0,18.21
69,Bodden Town,19.28,-81.25,84.2,83,20,11.41
70,Saskylakh,71.97,114.09,29.97,97,92,6.24
71,Hobart,-42.88,147.33,59.0,62,40,5.82
72,Karaj,35.81,51.01,68.77,26,0,6.93
73,Arraial do Cabo,-22.97,-42.02,75.69,89,88,8.48
74,Marsa Matruh,31.35,27.25,77.0,73,20,4.79
75,Osakarovka,50.56,72.58,43.29,96,76,9.26
76,Port Augusta,-32.49,137.76,73.4,19,68,2.24
77,Port Alfred,-33.59,26.89,65.61,100,80,8.14
78,Porteirinha,-15.74,-43.03,82.35,37,64,8.59
79,Cananea,30.98,-110.3,66.2,93,90,10.29
80,Axim,4.87,-2.24,78.12,98,20,10.38
81,Codrington,-28.95,153.24,67.32,73,0,4.56
82,Mataura,-46.19,168.86,47.79,97,80,15.52
83,Constitucion,23.99,-104.67,77.0,38,40,4.7
84,Seymchan,62.93,152.39,28.17,99,76,3.67
85,Salalah,17.01,54.1,73.4,73,0,3.36
86,San Pedro de Lloc,-7.42,-79.5,62.73,97,24,13.85
87,East London,-33.02,27.91,69.21,100,36,12.28
88,Pacific Grove,36.62,-121.92,72.0,44,1,11.41
89,Yellowknife,62.45,-114.38,33.8,47,75,18.34
90,Kahului,20.89,-156.47,85.48,53,40,17.22
91,Morehead,38.18,-83.43,75.92,73,1,5.01
92,Pochutla,15.74,-96.47,86.0,70,75,11.39
93,Dunedin,-45.87,170.5,52.11,93,64,8.81
94,Cabo San Lucas,22.89,-109.91,83.21,70,75,12.75
95,Sao Filipe,14.9,-24.5,77.22,100,88,13.51
96,Tuktoyaktuk,69.44,-133.03,28.4,92,75,8.05
97,Saint-Paul,45.22,1.9,41.79,65,0,5.82
98,Ribeira Grande,38.52,-28.7,73.71,96,64,19.89
99,Ilulissat,69.22,-51.1,32.0,94,75,13.87
100,Tazmalt,36.39,4.4,68.0,88,40,4.7
101,Ariquemes,-9.91,-63.03,77.22,87,64,2.21
102,Maningrida,-12.05,134.23,80.91,74,64,15.19
103,Lebu,8.96,38.73,48.69,72,0,5.01
104,Ponta do Sol,-20.63,-46.0,65.79,97,88,2.21
105,Camacha,33.08,-16.33,72.61,73,75,6.93
106,Iqaluit,63.75,-68.52,30.2,68,75,6.93
107,Victoria,5.28,115.24,80.6,94,75,6.35
108,Terenos,-20.44,-54.87,80.6,69,20,3.36
109,Saint George,39.45,22.34,59.0,77,20,3.36
110,Nome,30.04,-94.42,75.51,100,90,4.7
111,Kysyl-Syr,63.9,122.77,35.64,99,88,5.57
112,Legnica,51.21,16.17,48.2,87,75,13.87
113,Marzuq,14.4,46.47,54.45,43,12,4.0
114,Kanepi,57.98,26.76,42.8,81,0,2.24
115,Comodoro Rivadavia,-45.87,-67.48,53.6,37,20,6.93
116,Nanortalik,60.14,-45.24,36.45,99,80,0.76
117,Waipawa,-39.94,176.59,58.95,62,32,16.98
118,Sawakin,19.1,37.33,84.2,54,0,5.82
119,Chimoio,-19.11,33.48,60.8,87,0,2.66
120,Sterling,39.0,-77.4,74.64,74,1,3.36
121,Gobabis,-22.45,18.97,73.4,33,0,3.36
122,Fuerte,17.54,120.36,75.96,90,12,3.56
123,Cherskiy,68.75,161.3,43.2,67,68,3.0
124,Chuy,-33.69,-53.46,53.46,85,88,15.97
125,North Bend,43.41,-124.22,61.79,77,40,6.93
126,Port Macquarie,-31.43,152.91,66.2,59,0,6.93
127,Portland,45.52,-122.67,69.49,47,90,5.82
128,Chokurdakh,70.62,147.9,35.55,98,68,15.3
129,Nikolskoye,59.7,30.79,46.4,75,0,4.47
130,Qaqortoq,60.72,-46.03,33.8,59,68,10.29
131,Ancud,-41.87,-73.83,45.45,95,88,6.69
132,Sao Geraldo do Araguaia,-6.4,-48.55,77.94,88,0,2.77
133,Alice Springs,-23.7,133.88,75.2,17,0,5.82
134,Port Lincoln,-34.72,135.86,62.64,86,68,3.11
135,Pevek,69.7,170.27,44.19,89,80,4.79
136,Chipinge,-20.19,32.62,51.75,85,0,2.66
137,Denpasar,-8.65,115.22,78.8,83,20,2.24
138,Baryshivka,50.36,31.33,48.38,87,0,2.24
139,Anshun,26.25,105.93,56.52,67,76,4.45
140,Oka,6.04,7.09,72.45,98,92,4.0
141,Tagusao,9.19,117.81,80.55,97,44,4.12
142,Valparaiso,41.47,-87.06,73.38,47,40,6.93
143,Sicamous,50.84,-118.99,39.2,93,90,0.98
144,Pisco,-13.71,-76.2,64.44,80,0,2.55
145,Preeceville,51.95,-102.67,35.82,76,80,3.11
146,Mporokoso,-9.37,30.12,70.74,39,76,10.04
147,Esperance,10.24,-61.45,80.6,88,20,6.13
148,Taoudenni,22.68,-3.98,75.87,38,0,4.0
149,Maceio,-9.67,-35.74,71.6,83,20,5.82
150,Kodiak,39.95,-94.76,62.06,93,90,6.93
